layer,Thickness,Lithology
23,38.41,Dolostone
22,45.19,Sandstone
21,110.7,Shale
20,74.56,Limestone
19,55.41,Dolostone
18,79.42,Shale
17,158.84,Dolostone
16,55.4,Limestone
15,62.8,Dolostone
14,108.97,Limestone
13,293.67,Dolostone
12,132.98,Limestone
11,134.83,Dolostone
10,72.03,Limestone
9,29.55,Limestone
8,22.16,Shale
7,125.59,Dolostone
6,181.01,Limestone
5,240.07,Limestone
4,55.45,Limestone
3,55.4,Limestone
2,62.8,Limestone
1,36.94,Limestone
